,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
1836,0,2,0,0,0,3,0,1,0,1,1,2,3,0,0,0,0,0,0,1,0,1,0,1,0,1,1,2,0,1,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,2,1,0
1837,0,2,0,0,0,3,0,1,0,1,1,2,3,0,0,0,0,0,0,1,0,1,0,1,0,1,1,2,0,1,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,2,1,0
1838,0,2,0,0,0,3,0,1,0,1,1,2,3,0,0,0,0,0,0,1,0,1,0,1,0,1,1,2,0,1,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0
1839,0,2,0,0,0,2,0,1,0,1,1,2,2,0,0,0,0,0,0,1,0,1,0,1,0,1,1,2,0,1,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0
1840,0,2,0,0,0,2,0,1,0,1,1,2,2,0,0,0,0,0,0,1,0,1,0,1,0,1,1,2,0,1,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0
1841,0,2,0,0,0,2,0,1,0,1,1,2,2,0,0,0,0,0,0,1,0,1,0,1,0,1,1,2,0,1,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0
1842,0,2,0,0,0,2,0,1,0,1,1,2,2,0,0,0,0,0,0,1,0,1,0,1,0,1,1,2,0,1,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0
1843,0,2,0,0,0,2,0,1,0,1,1,2,2,0,0,0,0,0,0,1,0,1,0,1,0,1,1,2,0,1,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0
1844,0,2,0,0,0,2,0,1,0,1,1,2,2,0,0,0,0,0,0,1,0,1,0,1,0,1,1,2,0,1,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0
1845,0,2,0,0,0,2,0,1,0,1,1,2,2,0,0,0,0,0,0,1,0,1,0,1,0,1,1,2,0,1,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0
1846,0,2,0,0,0,2,0,1,0,1,1,2,2,0,0,0,0,0,0,1,0,1,0,1,0,1,1,2,0,1,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0
1847,0,2,0,0,0,2,0,1,0,1,1,2,2,0,0,0,0,0,0,1,0,1,0,1,0,1,1,2,0,1,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0
1848,0,2,0,0,0,2,0,1,0,1,1,2,2,0,0,0,0,0,0,1,0,1,0,1,0,1,1,2,0,1,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0
1849,0,2,0,0,0,2,0,1,0,1,1,2,2,0,0,0,0,0,0,1,0,1,0,1,0,1,1,2,0,1,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0
1850,0,2,0,0,0,2,0,1,0,1,1,2,2,0,0,0,0,0,0,1,0,1,0,1,0,1,1,2,0,1,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0
1851,0,2,0,0,0,2,0,1,0,1,1,2,2,0,0,0,0,0,0,1,0,1,0,1,0,1,1,2,0,1,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0
1852,0,2,0,0,0,1,0,1,0,1,1,2,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,0,1,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0
1853,0,2,0,0,0,1,0,1,0,1,1,2,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,0,1,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0
1854,0,2,0,0,0,1,0,1,0,1,1,2,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,0,1,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0
1855,0,2,0,0,0,1,0,1,0,1,1,2,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,0,1,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0
1856,0,2,0,0,0,1,0,1,0,1,1,2,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,0,1,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0
1857,0,2,0,0,0,1,0,1,0,1,1,2,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,0,1,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0
1858,0,2,0,0,0,1,0,1,0,1,1,2,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,0,1,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0
1859,0,2,0,0,0,1,0,1,0,1,1,2,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,0,1,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0
1860,0,2,0,0,0,1,0,1,0,1,1,2,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,0,1,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0
1861,0,2,0,0,0,1,0,1,0,1,1,2,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,0,1,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0
1862,0,2,0,0,0,1,0,1,0,1,1,2,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,0,1,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0
1863,0,2,0,0,0,1,0,1,0,1,1,2,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,0,1,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0
1864,0,2,0,0,0,1,0,1,0,1,1,2,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,0,1,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0
1865,0,2,0,0,0,1,0,1,0,1,1,2,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,0,1,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0
1866,0,2,0,0,0,1,0,1,0,1,1,2,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,0,1,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0
1867,0,2,0,0,0,1,0,1,0,1,1,2,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,0,1,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0
1868,0,2,0,0,0,1,0,1,0,1,1,2,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,0,1,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0
1869,0,2,0,0,0,1,0,1,0,1,1,2,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,0,1,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0
1870,0,2,0,0,0,1,0,1,0,1,1,2,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,0,1,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0
1871,0,2,0,0,0,1,0,1,0,1,1,2,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,0,1,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0
1872,0,2,0,0,0,1,0,1,0,1,1,2,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,0,1,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0
1873,0,2,0,0,0,1,0,1,0,1,1,1,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0
1874,0,2,0,0,0,1,0,1,0,1,1,1,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0
1875,0,2,0,0,0,1,0,1,0,1,1,1,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0
1876,0,2,0,0,0,1,0,1,0,1,1,1,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0
1877,0,2,0,0,0,1,0,1,0,1,1,1,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0
1878,0,2,0,0,0,1,0,1,0,1,1,1,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0
1879,0,2,0,0,0,1,0,1,0,1,1,1,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0
1880,0,2,0,0,0,1,0,1,0,1,1,1,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0
1881,0,2,0,0,0,1,0,1,0,1,1,1,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0
1882,0,2,0,0,0,1,0,1,0,1,1,1,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0
1883,0,2,0,0,0,1,0,1,0,1,1,1,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0
1884,0,2,0,0,0,1,0,1,0,1,1,1,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0
1885,0,2,0,0,0,1,0,1,0,1,1,1,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0
1886,0,2,0,0,0,2,0,1,0,1,2,1,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0
1887,0,2,0,0,0,2,0,1,0,1,2,1,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0
1888,0,2,0,0,0,2,0,1,0,1,2,1,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0
1889,0,2,0,0,0,2,0,1,0,1,2,1,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0
1890,0,2,0,0,0,2,0,1,0,1,2,1,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0
1891,0,2,0,0,0,2,0,1,0,1,2,1,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0
1892,0,2,0,0,0,2,0,1,0,1,2,1,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0
1893,0,2,0,0,0,2,0,1,0,1,2,1,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0
1894,0,2,0,0,0,2,0,1,0,1,2,1,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0
1895,0,2,0,0,0,2,0,1,0,1,2,1,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0
1896,0,2,0,0,0,2,0,1,0,1,2,1,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0
1897,0,2,0,0,0,2,0,1,0,1,2,1,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0
1898,0,2,0,0,0,2,0,1,0,1,2,1,2,0,0,0,0,1,0,1,0,1,1,1,0,0,1,2,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0
1899,0,2,0,0,0,2,0,1,0,1,2,1,2,0,0,0,0,1,0,1,0,1,1,1,0,0,1,2,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0
1900,0,2,0,0,0,2,0,1,0,1,2,1,2,0,0,0,0,1,0,1,0,1,1,1,0,0,1,2,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0
1901,0,2,0,0,0,2,0,1,0,1,2,1,2,0,0,0,0,1,0,1,0,1,1,1,0,0,1,2,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0
1902,0,2,0,0,0,2,0,1,0,1,2,1,2,0,0,0,0,1,0,1,0,1,1,1,0,0,1,2,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0
1903,0,2,0,0,0,2,0,1,0,1,2,1,2,0,0,0,0,1,0,1,0,1,1,1,0,0,1,2,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0
1904,0,2,0,0,0,2,0,1,0,1,2,1,2,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1905,0,2,0,0,0,2,0,1,0,1,2,1,2,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1906,0,2,0,0,0,2,0,1,0,1,2,1,2,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1907,0,2,0,0,0,2,0,1,0,1,2,1,2,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1908,0,2,0,0,0,2,0,1,0,1,2,1,2,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1909,0,2,0,0,0,2,0,1,0,1,2,1,2,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1910,0,2,0,0,0,2,0,1,0,1,2,1,2,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1911,0,2,0,0,0,2,0,1,0,1,2,1,2,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1912,0,2,0,0,0,2,0,1,0,1,2,1,2,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1913,0,2,0,0,0,2,0,1,0,1,2,1,2,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1914,0,2,0,0,0,2,0,1,0,1,2,1,2,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1915,0,2,0,0,0,2,0,1,0,1,2,1,2,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1916,0,2,0,0,0,2,0,1,0,1,2,1,2,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1917,0,2,0,0,0,2,0,1,0,1,2,1,2,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1918,0,2,0,0,0,2,0,1,0,1,2,1,2,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1919,0,2,0,0,0,2,0,1,0,1,2,1,2,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1920,0,2,0,0,0,2,0,1,0,1,2,1,2,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1921,0,2,0,0,0,2,0,1,0,1,2,1,2,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1922,0,2,0,0,0,2,0,1,0,1,2,1,2,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1923,0,2,0,0,0,2,0,1,0,1,2,1,2,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1924,0,2,0,0,0,2,0,1,0,1,2,1,2,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1925,0,2,0,0,0,2,0,1,0,1,2,1,2,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1926,0,2,0,0,0,2,0,1,0,1,2,1,2,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1927,0,2,0,0,0,2,0,1,0,1,2,1,2,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1928,0,2,0,0,0,2,0,1,0,1,2,1,2,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1929,0,2,0,0,0,2,0,1,0,1,2,1,2,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1930,0,2,0,0,0,2,0,1,0,0,2,1,2,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1931,0,2,0,0,0,2,0,1,0,0,2,1,2,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1932,0,2,0,0,0,2,0,1,0,0,2,1,2,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1933,0,2,0,0,0,2,0,1,0,0,2,1,2,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1934,0,2,0,0,0,2,0,1,0,0,2,1,2,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1935,0,2,0,0,0,2,0,1,0,0,2,1,2,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1936,0,2,0,0,0,3,0,1,0,0,2,1,3,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1937,0,2,0,0,0,3,0,1,0,0,2,1,3,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1938,0,2,0,0,0,3,0,1,0,0,2,1,3,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1939,0,2,0,0,0,3,0,1,0,0,2,1,3,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1940,0,2,0,0,0,3,0,1,0,0,2,1,3,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1941,0,2,0,0,0,3,0,1,0,0,2,1,3,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1942,0,2,0,0,0,3,0,1,0,0,2,1,3,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1943,0,2,0,0,0,3,0,1,0,0,2,1,3,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1944,0,2,0,0,0,3,0,1,0,0,2,1,3,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1945,0,2,0,0,0,3,0,1,0,0,2,1,3,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1946,0,2,0,0,0,3,0,1,0,0,2,1,3,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1947,0,2,0,0,0,3,0,1,0,0,2,1,3,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1948,0,2,0,0,0,3,0,1,0,0,2,1,3,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1949,0,2,0,0,0,3,0,1,0,0,2,1,3,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1950,0,2,0,0,0,3,0,1,0,0,2,1,3,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1951,0,2,0,0,0,3,0,1,0,0,2,1,3,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1952,0,2,0,0,0,3,0,1,0,0,2,1,3,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1953,0,2,0,0,0,3,0,1,0,0,2,1,3,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1954,0,2,0,0,0,3,0,1,0,0,2,1,3,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1955,0,1,0,0,0,3,0,1,0,0,2,0,3,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1956,0,1,0,0,0,3,0,1,0,0,2,0,3,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1957,0,1,0,0,0,3,0,1,0,0,2,0,3,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1958,0,1,0,0,0,3,0,1,0,0,2,0,3,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1959,0,1,0,0,0,3,0,1,0,0,2,0,3,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1960,0,1,0,0,0,3,0,1,0,0,2,0,3,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1961,0,1,0,0,0,3,0,1,0,0,2,0,3,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1962,0,1,0,0,0,3,0,1,0,0,2,0,3,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1963,0,1,0,0,0,3,0,1,0,0,2,0,3,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1964,0,1,0,0,0,3,0,1,0,0,2,0,3,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1965,0,1,0,0,0,3,0,1,0,0,2,0,3,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1966,0,1,0,0,0,3,0,1,0,0,2,0,3,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1967,0,1,0,0,0,3,0,1,0,0,2,0,3,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1968,0,1,0,0,0,3,0,1,0,0,2,0,3,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1969,0,1,0,0,0,3,0,1,0,0,2,0,3,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1970,0,1,0,0,0,3,0,1,0,0,2,0,3,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1971,0,1,0,0,0,3,0,1,0,0,2,0,3,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1972,0,1,0,0,0,3,0,1,0,0,2,0,3,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1973,0,1,0,0,0,3,0,1,0,0,2,0,3,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1974,0,1,0,0,0,3,0,1,0,0,2,0,3,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
1975,0,1,0,0,0,3,0,1,0,0,2,0,3,0,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
